Luiza Erundina,N
Roberto Alves,S
Lázaro Botelho,S
Erivelton Santana,S
Bruno Araújo,S
Cacá Leão,S
Dimas Fabiano,N
Chico Dangelo,N
Hélio Leite,S
Maria Do Rosário,N
Odorico,N
Carlos Gomes,S
Wolney Queiroz,N
João Rodrigues,S
Rubens Pereira Júnior,N
Dr. Jorge Silva,N
Rôney Nemer,N
Décio Lima,N
Adelmo Leao,N
Eduardo Bolsonaro,S
Luiz Carlos Hauly,S
Luiz Couto,N
Afonso Florence,N
Arthur Lira,S
Aelton Freitas,S
Alan Rick,S
Marcos Soares,S
Alessandro Molon,N
Felipe Maia,S
João Marcelo,S
Remidio da Amatur,S
Aliel Machado,N
Chapadinha,S
Fausto Pinato,S
Hugo,S
Vicente Cândido,N
Esperidião Amin,N
Cristiane Brasil,S
Enio Verri,N
Fabio Faria,S
Delegado Waldir,N
Helder Salomao,N
Valmir Prascidelli,N
Assis Carvalho,N
Miguel Haddad,S
Jovair Arantes,S
Delegado Edson Moreira,S
Adalberto Cavalcanti,S
Soraya Santos,S
Gorete Pereira,S
Jandira Feghali,N
Paulo Pereira da Silva,N
Adelson Barreto,N
Newton Cardoso Jr,S
Alexandre Baldy,S
Pauderney,S
Paulão,N
Raquel Muniz,S
Jose Stedile,N
Tiririca,N
Pastor Marco Feliciano,S
Weliton Prado,N
Alexandre Leite,S
Goulart,S
Delegado Francischini,N
Perondi,S
Caetano,N
Arnaldo Faria de Sá,N
Ronaldo Fonseca,N
Shéridan,S
Flavinho,N
Reginaldo Lopes,N
Priante,S
Vicentinho,N
Delegado Eder Mauro,S
Leopoldo Meyer,N
José Airton,N
Joaquim Passarinho,S
Professora Marcivânia,N
Zé Silva,N
Léo Do Pt,N
Victor Mendes,S
Geraldo Resende,S
Herculano Passos,S
Gilberto Nascimento,S
Eduardo da Fonte,N
José Geraldo,N
Efraim Filho,S
Milton Monti,S
Luiz Sérgio,N
Luiz Carlos Ramos Do Chapeu,N
Covatti Filho,S
Marcos Reategui,S
Cesar Halum,S
Henrique Fontana,N
Josi Nunes,S
Eduardo Cury,S
Atila Lira,S
Christiane Yared,N
Luciana Santos,N
Vander Loubet,N
Bacelar,N
Marcos Montes,S
Pedro Cunha Lima,S
Geovania de Sá,N
Angelim,N
Mauro Mariani,S
Caio Narcio,S
Nelson Meurer,S
Betinho,S
Raimundo Matos,S
Expedito Netto,N
Paulo Feijó,S
Fabinho Ramalho,S
Rogério Rosso,S
Otavio Leite,S
Jhc,N
Miguel Lombardi,S
Giuseppe Vecci,S
Ságuas Moraes,N
Zarattini,N
Marcus Vicente,S
Sóstenes Cavalcante,S
Deley,N
Aluisio Mendes,S
Ronaldo Carletto,S
Lucio Vale,S
Aguinaldo Ribeiro,S
Fábio Mitidieri,N
Atila Lins,S
Cabuçu,S
Rubens Bueno,S
Julio Delgado,N
Gonzaga Patriota,N
Saraiva Felipe,S
Aleluia,S
Ronaldo Lessa,N
Altineu Cortes,S
Silas Freire,S
Cadoca,S
José Fogaça,N
Davidson Magalhães,N
Augusto Coutinho,S
Ademir Camilo,N
Alberto Filho,S
Walney Rocha,N
Mauro Pereira,S
